id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length,,,,,,,,,,,,,,,,,,,,,,,,
R7107,I4RP,Living room,6,6,Yes,"A person is working on a sofa. Another person walks in with a bag of groceries, closing the door behind them.",bag,door,groceries,laptop,sofa,"A person is sitting on a sofa working on the laptop when another person walks in through the door carries groceries.;A person sits on a couch with a laptop while another person enters a doorway and opens a door with a bag, then closes it.",c052 0.00 14.00,c008 0.20 7.80,c123 0.00 14.00,c020 3.20 14.00,c006 3.50 11.00,12.5,,,,,,,,,,,,,,,,
UMOE4,I4RP,Living room,6,6,Yes,A person holds a box of pictures from a table in the entryway. Another person suddenly comes running through.,box,cards,laptop,picture,vacuum,"The person is shuffling through cards while standing at a table. Another person sprints through the picture, past the original person standing there.;A person searches through a box and another person runs across the room.",c044 5.00 10.70,c084 0.00 10.80,c083 6.50 11.10,c150 6.20 11.70,c154 0.00 12.00,11.38,,,,,,,,,,,,,,,,
QLWQ4,P6LJ,Living room,5,6,Yes,"A person is tidying up the room. They are holding a laundry bin and pick up a towel and a blanket nearby, and put it in the laundry bin.",bag,blanket,box,clothes,hamper,shirt,table,towel,"A person is putting clothes in a box, they then put a blanket in a basket and several other clothes.;Someone is in the living room and they grab a shirt from the table and fold it and then puts a bag and clothes in a hamper.",c000 2.60 14.20,c002 21.40 36.00,c004 2.40 43.40,c001 21.40 43.40,c001 2.80 14.40,c003 21.20 29.40,c002 2.60 9.80,c073 3.10 8.90,c154 0.00 47.00,c071 4.20 14.20,c009 9.70 14.90,c012 9.30 14.90,45.92,,,,,,
S9P0W,L4ZP,Bedroom,5,6,Yes,A person is seen holding a towel which they put into a box. They then start pouring themselves some water and turning off the light,box,cup/glass/bottle,light,towel,"A person folds a towel, puts it in a box and then turns off the light.",c105 27.10 32.60,c033 0.00 13.70,c034 7.20 13.50,c108 12.40 21.90,c037 0.00 12.10,38.25,,,,,,,,,,,,,,,,,
U1DTW,0KZ7,Garage,7,7,Yes,A person is tidying up with a broom. The person starts laughing because of something they noticed outside the window.,broom,floor,window,A person in blue jeans and a sweat shirt is inside a cluttered room and using a yellow broom to sweep the floor.,c098 0.00 34.00,c102 0.00 24.60,c092 21.80 34.00,c127 20.80 25.10,32.71,,,,,,,,,,,,,,,,,,,
R6CIX,4I2W,Living room,6,7,Yes,A person standing looks like they are fixing a door hinge but gets tired and sits on a sofa.,door,sofa,A person is fixing a door and then sits down on a couch.,c123 14.70 20.10,c007 0.00 11.40,c151 14.70 20.10,30.38,,,,,,,,,,,,,,,,,,,,,
2PREF,L4ZP,Kitchen,6,7,Yes,A person is in the kitchen holding a frying pan.  They put the pan on the stove and go to the shelf for a can of food.  The person opens the can and sets it next to the stove.,cabinet,dish,food,frying pan,groceries,shelf,stove,table,A person put a frying pan on the stove.  The person then turned on the stove.  The person then grabbed some food from the cabinet.,a person in kitchen walks over and puts pan on stove then goes to cabinet and pulls out cup off shelf then places it on table then walk over and looks in another cabinet.,c147 1.90 9.70,c113 8.20 15.10,c009 13.90 19.60,c119 0.00 6.00,c112 10.10 15.20,c062 9.90 19.70,c063 8.70 14.40,c061 10.00 19.10,c130 14.60 19.50,c118 0.00 5.50,24.96,,,,,,,
57J92,D0RU,Recreation room / Man cave,6,6,Yes,One person grasps a broom and smiles at another person who is eating a sandwich and watching the first person.,broom,floor,food,sandwich,television,A person is sweeping the floor with a broom. Another person is standing out of the way while eating something. The second person walks away.,person sweeps the floor and another eats a sandwich,c065 9.40 38.00,c098 0.00 38.00,c152 9.90 35.40,c127 0.00 38.00,c067 29.60 34.70,c102 1.10 38.00,c156 29.80 35.40,c132 0.00 38.00,36.62,,,,,,,,,,,,
R2DA8,18IT,Kitchen,7,7,Yes,A person is seen sneezing while on their laptop. The person then begins throwing food on a plate from the fridge.,chair,dish,floor,food,laptop,plate,refrigerator,table,"A person sitting on a chair and working on a laptop on a table sneezes. They get up and go to their kitchen where they sit a plate down on the floor and open their refrigerator.;A  person sitting in a chair working at a laptop, closing the laptop, getting up and walking to the kitchen, opening the fridge, and putting something on a plate in the middle of the floor.",c119 22.50 30.70,c153 7.00 17.30,c011 0.00 19.60,c143 28.10 33.90,c052 0.00 17.70,c154 16.00 21.40,c059 0.00 20.00,c120 23.00 27.70,c126 32.70 44.30,c064 32.90 43.10,46.17,,,,,,,,
VCU4P,ZAWX,Bedroom,7,6,Yes,A person is smiling and watching a person as the person folds a blanket and puts it into a cabinet.,blanket,cabinet,table,A woman is smiling at a young guy. The guy is picking up a blanket. He folds it and sets it on a cabinet. Then he begins walking around looking for something.,c070 1.10 21.40,c071 16.50 24.40,c075 1.10 19.90,c152 0.00 4.00,c009 16.30 24.00,c149 0.00 3.50,26.92,,,,,,,,,,,,,,,,,
U3OJV,0KZ7,Living room,7,7,Yes,A person is drinking coffee and grasping a phone with their other hand.,chair,coffee,cup,phone,water,"A person is sitting in a chair, drinking from a glass and looking at a phone.;A person is sitting in a chair holding a cup and a phone. They drink water from the cup.",c015 0.00 29.00,c106 0.00 29.00,c059 0.00 29.00,c016 0.00 29.00,c107 0.00 29.00,27.67,,,,,,,,,,,,,,,,
PY5M4,YMXV,Bathroom,6,6,Yes,A person is standing in front of a mirror.  Then the person sneezes once into the sink.,counter,doorway,face,mirror,sink,A person is standing in front of a mirror and is looking at themself. They walk through a door and into a room with a sink.,A person looks in the mirror and touches their face. They walk through the doorway and lean over a sink.,,30.58,,,,,,,,,,,,,,,,,,,
T1CQE,JVLO,Bedroom,4,5,Yes,"Person walks into the bedroom, takes their laptop out of a bag, and lies down on the bed.",bag,bed,chair,doorway,floor,laptop,"A person enters the doorway. A person grabs a bag off of a chair. A person then sits down and takes out a laptop.;A person walks into a room and picks up a book bag off of a chair. The person carries the bag across the room, and then sits down on a floor/bed, opens the bag, takes out a laptop computer and opens the computer.",c021 18.90 27.40,c023 8.00 14.90,c050 21.40 29.90,c125 16.90 37.00,c022 17.30 29.70,c048 30.90 37.00,c135 17.50 37.00,c151 14.60 20.40,c020 6.90 31.30,35.62,,,,,,,,,,,
FPNT1,DXDI,Stairs,,7,Yes,A person walks up the stairs grasping a laptop and some homework.  Halfway up the stairs they throw the homework down.,book,box,homework,laptop,paper,"A person walks up the stairs holding a laptop, and a book. The person throws the book on the floor and leaves.",c047 0.00 18.50,c031 6.60 11.20,c040 0.00 14.10,17.88,,,,,,,,,,,,,,,,,,
3ZKDY,C7O9,Living room,6,6,Yes,"A person snuggling with a blanket asleep on the sofa, begins awakening and sitting up with a yawn.",blanket,sofa,A person is sleeping on the sofa and wakes up.,c122 0.00 17.90,c072 0.00 18.00,c146 8.60 27.00,25.54,,,,,,,,,,,,,,,,,,,,,
3MAY9,C7O9,Pantry,7,6,Yes,"A person holding a camera takes a picture of a cabinet.  They set the camera down, pick up a glass and start drinking as they turn out the light and walk away.",camera,cup,glass,light,phone,picture,shelf,water,"A person takes some pictures of a microwave. The person then drinks some water and turns off the closet light;A person is taking a picture with a camera. A person then drinks a glass of water, and turn off the light.",c015 4.50 20.30,c108 11.70 19.40,c105 6.00 23.60,c106 7.00 19.60,c087 10.50 26.40,c107 11.60 27.00,c081 10.50 15.40,c017 10.40 15.30,25.79,,,,,,,,,,
0TQZQ,T7C3,Pantry,6,7,No,"A person stands in front of the medicine cabinet, reading a book. The person closes the book, and runs out of the bathroom.",book,cabinet,doorway,medicine,A person abruptly walks out of a closet after standing there for a few seconds reading a book.,c025 14.60 18.80,c026 0.00 22.00,c032 0.00 18.80,c097 15.10 20.30,20.54,,,,,,,,,,,,,,,,,,
G70A2,HJJ4,Laundry room,7,7,Yes,A person is sneezing and then starts tidying the book on the shelf.,book,shelf,A person sneezes. The person then picks up a book off a shelf.,c082 3.70 12.80,c153 0.00 6.80,12.04,,,,,,,,,,,,,,,,,,,,,,
R00LO,D0RU,Kitchen,7,7,Yes,A person is walking toward a pantry while snuggling a blanket. The person grabs a sandwich.,blanket,dish,doorway,food,sandwich,"A person walks through a door wrapped in a blanket. They walk to the pantry and grab food. They then eat the food.;A person walks through a doorway wearing a blanket, they then go to the fridge, take out some food, and begin to eat it",c156 24.20 31.30,c063 15.70 21.20,c097 8.80 14.20,c073 8.30 33.00,c118 21.70 33.00,c067 21.70 33.00,c120 21.70 33.00,c061 20.30 33.00,c072 8.70 33.00,c065 23.90 33.00,31.75,,,,,,,,,,,
CMD0M,0RNU,Garage,5,7,Yes,A person is tidying up some junk on the shelf.  Then the person pours some liquid into a glass.,cup,glass,pitcher,radio,shelf,tools,water,a person tidies up a workspace in the garage then poors some water,A person is plugging in a radio. A person then pours themselves a glass of water.,c107 16.40 31.00,c108 17.70 30.70,c082 0.00 19.70,c110 16.10 31.00,29.58,,,,,,,,,,,,,,
2WGSN,WQ8Z,Kitchen,7,7,Yes,A person drinks from a cup then puts it in the sink and begins washing it with a towel.,cup,dish,glass,towel,A person drinks from a glass.,c106 0.00 11.10,c107 0.00 12.00,c038 13.70 23.60,c111 8.00 18.30,c121 15.50 27.10,c109 0.00 12.20,c035 14.00 23.30,c110 7.40 12.40,28,,,,,,,,,,,,,,
KV99H,KFGP,Home Office / Study (A room in a house used for work),5,6,Yes,Person opens desk to messy clutter of shoes and glasses. Person tidies up by throwing things into bag.,bag,book,cabinet,clothes,desk,papers,shoe,"A person opens up a drawer and begins placing the items in that drawer in a plastic bag;A person opened a desk drawer and a plastic bag. The person removed shoes, papers and some other objects from the drawer and placed them in the bag.",c021 2.10 13.00,c053 8.80 14.30,c020 1.00 31.00,c023 1.00 6.00,c054 8.00 17.00,c056 8.00 13.00,c028 16.00 23.00,c001 21.10 30.50,29.96,,,,,,,,,,,
EDVAM,QOQ4,Living room,6,7,Yes,"A person is holding a pillow. Then, sneezing, the person gets up and begins closing the window.",pillow,sofa/couch,window,A person is holding a pillow while sitting on a couch.  He stands up and goes to clothes a window.,c076 0.00 7.10,c089 10.20 16.00,c154 3.10 7.90,c123 0.00 7.00,15.21,,,,,,,,,,,,,,,,,,,
R1S1Z,28B0,Kitchen,6,6,Yes,"A person is taking groceries from a bag and throwing them to a person as the person stands by the fridge, ready to put them away.",bag,floor,food,groceries,refrigerator,shelf,A person tosses objects to another person and then throws a bag at them. Then both of them go crazy.,c024 9.80 15.00,c062 0.00 23.00,c020 0.00 17.40,c125 1.70 20.60,c081 3.50 20.70,c061 0.00 23.00,c154 16.20 21.60,c021 0.00 6.60,c143 2.00 6.00,c064 3.00 15.00,c130 3.00 15.00,21.67,,,,,,,,,
FDYQZ,PKND,Dining room,5,7,Yes,A person standing at a sink starts to undress. Another person runs by holding a pillow in their arms.,clothes,mirror,pillow,shirt,"One person is undressing, while another person is holding a pillow and walking around the room.;Two people are in a room. One is undressing and redressing in front of a mirror while the other paces back and forth holding a pillow.",c076 0.00 33.00,c155 6.10 16.10,c149 0.90 9.20,c152 0.90 9.20,c096 4.80 16.60,31.75,,,,,,,,,,,,,,,,,
V3DJ5,0KZ7,Living room,6,7,Yes,"One person snuggling under a blanket sneezes, smiles, then takes a piece of food.",blanket,couch,food,sofa,"A person lays on the couch covered in blankets. After a little while, the person sneezes, smiles, and picks up a piece of food and eats it.;A person is laying on a sofa with a blanket while sneezing and eating.",c072 0.00 27.00,c061 16.90 24.10,c063 14.20 24.20,c153 11.90 18.70,c152 14.20 21.70,c122 0.00 27.00,c156 14.30 27.00,26.25,,,,,,,,,,,,,,,
9GMHF,XXN8,Entryway (A hall that is generally located at the entrance of a house),4,7,Yes,A person is laughing as the person hangs their coat up in the cabinet. Then the person opens the door and reaches for a broom to sweep out the entryway.,broom,cabinet,clothes,coat,door,"A person hangs up a red coat in a closet.  The person then opens another door, takes out a broom, and begins sweeping the hallway.",c008 12.80 18.70,c100 14.30 19.90,c112 11.10 16.60,c006 12.30 17.30,c098 15.40 32.00,c102 17.30 32.00,c000 0.00 12.70,c004 0.00 13.70,c001 0.00 14.60,31.08,,,,,,,,,,,,
G6MYM,2RTW,Entryway (A hall that is generally located at the entrance of a house),6,6,Yes,A person is in the entryway watching the mirror.  Another person is working on bringing in groceries to the house.,bag,door,food,groceries,hair,mirror,table,A person is standing in front of a mirror fixing their hair when another person comes in through the door holding a bag and goes to the table and puts groceries in the bag.,A person is looking at himself in the mirror and flexes. Another person walks in with a bag sand puts something in the bag,A person stands and poses in front of a mirror. Another person walks into the room holding a bag of food and starts putting the bag's contents onto the table.,c062 17.00 32.00,c096 0.00 32.00,c008 8.10 17.00,c144 16.80 23.90,c020 11.20 32.00,c130 14.70 32.00,c097 10.10 16.20,c021 15.40 32.00,30.58,,,,,,,,,
7HZHM,QOQ4,Bathroom,5,6,Yes,A person is undressing in front of the mirror. They sneeze and grab a tissue from the tissue box.,box,clothes,floor,jacket,mirror,sweat shirt,tissue,"A person is taking off a jacket, while looking in the mirror. A person takes a tissue.;Person walks in bathroom, looks in mirror, takes off sweat shirt, sneezes, grabbed a tissue and walked out bathroom",c044 3.00 14.50,c155 9.70 21.70,c153 15.20 25.30,c155 23.00 31.10,c096 3.20 9.70,c003 17.60 23.60,c126 16.90 23.40,31.29,,,,,,,,,,,,
XOMJ4,KFGP,Home Office / Study (A room in a house used for work),7,6,No,"A person is taking medicine out of the cabinet.  The person pours a tablespoon of the medicine and drinks it, then puts it back in the cabinet and sits in a chair.",cabinet,chair,cup/glass/bottle,medicine,table,"The person approach a desk and sets down a spoon. Then the person opens the drawer and pulls out a bottle of medicine. Proceeds, pouring the medicine into the spoon and drinks it, then puts the medicine back into the drawer. Finally the person sits down in the chair.",c128 0.50 7.80,c129 0.30 19.00,c112 15.70 23.50,c151 19.20 24.80,c128 0.90 24.20,c059 19.50 30.00,c113 0.00 6.30,c009 0.20 5.60,c108 6.10 13.20,c011 20.50 25.40,c109 16.70 22.50,c107 2.30 22.00,c110 1.90 22.00,28.79,,,,,,,,
L2ZZB,T7C3,Entryway (A hall that is generally located at the entrance of a house),5,7,Yes,A person is undressing in the hallway by taking their  jacket off. They start lying down on a blanket while pulling out their phone.,blanket,clothes,floor,phone,"A person undresses, lays down on a blanket, pulls out their phone and holds it, and wraps up in the blanket on the floor.",c015 20.50 28.00,c155 0.00 19.30,c151 20.30 27.60,c001 14.40 22.30,c016 30.20 37.00,c072 30.00 37.00,c124 22.90 37.00,c001 0.00 29.40,c018 23.40 37.00,c016 23.40 37.00,36.29,,,,,,,,,,,,
5ACD3,T7C3,Living room,6,6,Yes,"A person lying on the floor in the living room is drinking their favorite beverage and watching something out the window.  They get up, bringing their empty glass with them, and put it on a table.",bottle,cup,floor,glass,something,table,window,"A person crawls on the floor to the window and looks out.  They pick up a bottle of wine and drink some.  They put the screw cap back on the wine.  As they stand up, they grab a glass from the floor and put it on a table.  They begin to walk away while holding the bottle of wine.",c109 41.00 46.00,c092 3.00 30.00,c154 41.00 46.00,c009 41.00 46.00,c106 12.70 28.30,44.5,,,,,,,,,,,,,,
UAT1F,ID9V,Home Office / Study (A room in a house used for work),6,7,Yes,"A person is standing while holding a book in their home office. They then walk over to a desk, put the book down and open a laptop.",book,desk,laptop,shelf,table,"A person picks up a book and flips through the pages. They put the book down and open up a laptop.;A person picks up a book, flips through the pages, then puts it on a desk. They then open a laptop.",c048 17.70 26.20,c025 9.80 15.60,c027 2.00 8.00,c030 0.50 7.80,c081 13.10 23.20,c009 13.70 20.40,c026 0.50 18.90,c028 15.00 20.40,c116 11.60 20.50,c052 18.00 25.10,c115 0.40 20.10,29.83,,,,,,,,,,
MZOPX,4YWP,Dining room,6,6,Yes,A person is playing on their new laptop and then washes a glass they used earlier.,book,chair,cup,dish,glass,homework,laptop,sink,table,television,"A person is working on a laptop, then they pick up a glass walk over to a sink and wash it;A person is on their laptop.  The person is viewing the laptop.  The person then gets up, goes to the sink, and begins washing a glass.",c151 16.80 24.60,c052 0.00 19.20,c111 23.60 37.00,c121 22.30 37.00,c059 0.00 21.70,c011 0.00 24.30,c014 0.00 22.10,c051 0.00 22.10,36.46,,,,,,,,
VLE11,4YWP,Dining room,6,6,Yes,"A person is at a dining room table playing with a television remote, they then put the remote down and open up their homework book.",book,chair,homework,paper,phone,remote,table,television,"A person is sitting at a table playing with a phone, they then begin to work on homework.;A person is sitting at a table holding a remote control. They change the TV channel, then put the remote down and start working on homework.",c027 22.20 29.70,c145 22.00 34.00,c011 0.00 34.00,c059 0.00 34.00,c014 22.70 34.00,c016 0.00 15.30,c117 21.20 29.40,c017 19.70 24.90,c015 0.00 24.70,c115 28.80 34.00,c028 21.00 26.90,c009 20.10 24.90,c032 24.50 34.00,33.08,,,,,
S67WR,0KZ7,Entryway (A hall that is generally located at the entrance of a house),6,6,Yes,A person is fixing a vacuum then opens the door to leave.,door,vacuum,"A person is standing in and entryway fixing a vacuum, they then open a door and proceed to leave.",c008 24.10 30.00,c136 10.80 26.00,28.75,,,,,,,,,,,,,,,,,,,,,,
00SL4,ECB2,Closet / Walk-in closet / Spear closet,6,7,Yes,"A person is opening a closet door. The person, smiling, then places a blanket on the shelf.",blanket,closet/cabinet,clothes,door,shelf,"A person opens a closet, places a blanket on the shelf, then closes the closet.",c071 18.00 10.00,c081 18.00 10.00,c008 0.00 2.60,c001 2.40 8.90,c113 1.20 6.50,c112 6.00 10.00,c000 0.30 8.00,8.96,,,,,,,,,,,,,,
SYMIR,FNK4,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,"A person is standing in the hall undressing after work, taking off their shoes and jacket. This person places the shoes on a nearby towel.",clothes,door,floor,shoe,"the person is coming indoors then removing a sweater and hanging it on a doorknob, then removing shoes then taking back the sweater and exiting the room",c057 12.90 33.00,c154 25.60 32.50,c155 5.30 14.60,c056 16.10 31.80,c002 6.20 13.50,c000 9.30 15.30,c097 0.10 7.10,c006 1.20 7.00,c001 9.30 15.30,c008 0.00 4.80,c126 17.70 31.10,c141 0.30 7.80,35.42,,,,,,,,,,
U3VOM,KQI6,Bedroom,3,6,Yes,One person is lying on a blanket by the door when another person throws down some clothes and leaves.,bed,blanket,clothes,door,floor,television,"A person is laying down on a bed with a blanket watching tv then another person comes and throws a pile of clothes on the floor.;A person is laying in their bed watching television, then a person walks in the room and throws a pile of clothes on the floor.",c072 0.00 32.00,c001 13.10 23.40,c132 25.10 32.00,c000 9.90 19.90,c132 0.00 32.00,c134 0.00 32.00,c126 14.40 20.20,c003 14.40 20.20,c074 14.40 20.20,c070 7.90 19.10,30.58,,,,,,,,,,
Q01UB,0RNU,Garage,6,6,Yes,A person is dressing by putting on a jacket. Then the person puts some shoes next to an open laptop.,clothes,jacket,shoe,A person picks up a jacket and puts it on. Then they take their shoes off and put it on a table.,c155 11.50 20.60,c148 0.00 14.50,c056 12.70 29.90,c054 24.90 32.40,c057 11.00 29.20,32.92,,,,,,,,,,,,,,,,,,
S72J9,3H6W,Laundry room,4,7,Yes,A person drinks a glass of water while closing the dryer door. The person looks out the window.,bottle,cup,door,glass,water,window,"A person picks up a glass of water and drinks it while closing a door.  A person takes a look out a window.;A person picks up a bottle of water off of the washer and drinks it. They close a cabinet door and walk out of the room. They go to the living room window and look out the window, and then leave.",c006 3.10 11.50,c106 2.50 12.90,c092 15.50 26.20,28.21,,,,,,,,,,,,,,,,,
6EU06,ZAWX,Living room,5,5,Yes,"A person can close a book in the hallway, A person can wash a table in the hallway.",book,floor,homework,paper,table,towel,A person is sitting at a table. The person is putting away their homework and cleaning off the table.,A person is working on homework at the table. They put their homework away and clean the table.,c026 0.00 23.90,c011 0.00 32.00,c013 20.40 32.00,c012 6.10 21.60,c025 3.80 9.40,c038 20.90 32.00,c145 0.00 8.40,c116 5.50 21.50,c014 0.00 22.90,c030 1.50 6.30,c125 8.40 15.40,c126 8.70 15.70,c149 1.10 7.10,c032 0.00 9.50,c152 6.00 11.10,c035 20.10 25.20,c028 6.70 12.60,30.67,,
4ZNNP,9Y7F,Living room,7,5,Yes,"A person is standing in the doorway, while a other person leaves a camera nearby.",doorway,stairs,A person is leaning in a doorway.  Another person walks past the other person.,,30.58,,,,,,,,,,,,,,,,,,,,,,,
PVVQS,LTAC,Living room,6,6,Yes,A person walks in the kitchen and turns on the light. The are laughing and begin throwing their shoes.,doorway,floor,hall,light,shoe,A person is walking through a doorway. A person then turns on a light and begins laughing. A person then throws their shoes down the hallway.,A person walks into a room carrying a pair of slippers and turns on the light. The person stands in the middle of the room smiling and then throws the slippers down a hallway.,c053 5.50 10.70,c104 5.00 10.60,c149 7.00 21.10,c058 23.00 29.00,c097 0.00 9.00,c152 7.00 29.00,c126 23.20 29.80,c054 23.40 31.10,30.58,,,,,,,,,,,,
FU2HI,T7C3,Kitchen,6,1,No,A bag of groceries sit on a chair. A sneezing person is working a broom to death trying to sweep out the dusty corner.,broom,floor,A person is sweeping the floor with a broom.,The person is sweeping the floor over and over again.,c098 0.00 37.00,c102 0.00 37.00,c127 0.00 37.00,36.42,,,,,,,,,,,,,,,,,,,,
D4CHP,Q4IF,Living room,6,7,Yes,A person is sitting down undressing themselves while they cover themselves with a blanket and lie down on a pillow.,blanket,clothes,pillow,shirt,"A person is sitting on a mat on the floor and takes his shirt off.   When finished removing the shirt, the person pulls over a blanked and lies down on a pillow.;A person is sitting on the floor with a blanket and pillow, they then begin to undress and lay down to sleep.",,29.58,,,,,,,,,,,,,,,,,,,,,
MI76A,6RE8,Living room,6,4,Yes,A person is lying on the sofa in their recreation room under a blanket and reading a book closes the book.,bed,blanket,book,sofa,A person is laying on a sofa reading a book while covered with a blanket. They then close the book and lay down.,c122 0.00 5.20,c025 0.10 4.20,c134 0.00 33.00,c028 0.00 9.30,c032 0.50 24.10,31.71,,,,,,,,,,,,,,,,,
WFVD3,L4ZP,Bathroom,7,6,Yes,"A person standing in the doorway opening, throws a book inside near a laptop.",book,door,floor,light,A person holds a book in a doorway. They turn the light off and throw the book in a room,A person is walking out of the bathroom with a book and then throws the book.,c025 0.00 12.40,c031 10.20 18.40,c105 8.70 14.30,c097 12.60 20.00,c026 0.00 21.00,c126 15.50 21.00,c027 0.70 5.70,20.29,,,,,,,,,,,,,,
XHQT1,0RNU,Garage,6,7,Yes,A person is tidying shoes on a shelf in a garage. The person then walks through a doorway and exits the garage.,door,shelf,shoe,"A person is tidying shoes on a shelf.  The person then walked out a door.;A person is tidying up shoes on a shelf. The person is rearranging the pairs of shoes. The person walks away, opens a door, goes through it, and closes it behind them.",c053 1.50 26.80,c056 11.80 23.80,c141 27.40 32.40,c054 0.00 5.70,c097 26.40 34.20,c082 0.00 21.80,c008 27.70 33.40,33.67,,,,,,,,,,,,,,,,
XECIL,UTJM,Pantry,7,7,Yes,"A person is eating a sandwich in the pantry, and takes a bag of chips from the cabinet. The person wipes their hands with a paper towel.",bag,cabinet,chips,food,napkin,sandwich,towel,"Person eats sandwich, open cabinet, grab food out, pours food on plate, puts food away, grabs napkin, wipe mouth.",c024 20.00 25.00,c068 16.00 23.00,c061 0.00 29.20,c063 12.20 18.80,c021 17.50 28.20,c024 26.20 32.70,c034 28.50 34.00,c065 0.00 27.50,c068 12.70 19.60,c113 9.90 14.50,c062 5.70 10.10,c020 12.70 21.90,c023 12.00 16.70,c033 23.10 34.00,c035 22.10 27.10,c067 1.50 5.60,c156 2.00 8.80,c112 10.50 17.20,c069 0.10 5.80,32.92
TX020,1TZV,Garage,3,6,Yes,"A person runs into the garage, eating a sandwich. The person puts on a pair of shoes and leaves.",chair,doorway,shoe,"A person runs into a garage and sits down. They put some shoes on and walk out.;person runs into garage, sits in chair, puts on shoes, and runs out of garage",c150 0.00 7.00,c154 2.00 9.00,c059 4.00 16.00,c055 4.00 16.00,c054 4.00 16.00,c151 8.00 13.40,c097 0.60 5.90,21.54,,,,,,,,,,,,,,,,
VAXUU,BYF9,Closet / Walk-in closet / Spear closet,7,7,Yes,A person is seen taking a camera from their closet. They grasp the doorknob and begin closing the closet door.,camera,closet/cabinet,curtain,door,phone,shelf,wardrobe,"A person moves a curtain and picks up a camera from the wardrobe. The person then leaves the room with the camera, closing the door behind themselves.;A person opens a curtain and gets a camera from a shelf. They then close a door",c006 13.70 22.00,c015 2.70 22.00,c018 2.20 9.20,c113 0.00 3.20,c097 0.20 5.00,21,,,,,,,,,,,,,,
B9YPQ,YMXV,Bedroom,7,5,Yes,A person is seen fixing a doorknob on a wardrobe. They then begin laughing and start to leave.,door,pockets,wardrobe,"a person is closing a door to a wardrobe, then putting his hands in his pockets and smiling, then walking to another door and going through it.;The person closed the closet door walk towards the door and walk out the door.",,30.92,,,,,,,,,,,,,,,,,,,,,,
UKCTK,YMXV,Bedroom,5,7,Yes,"One person takes a broom and a camera from the room and leaves, smiling.",broom,closet,door,phone,"A person picks up an item from the bedroom floor then pull their phone out of their pocket and looks at it before slowly exiting the room.;A person picks up a broom off the floor, then checks their phone. They walk into the closet and close the door.",c015 5.00 32.00,c006 27.00 32.00,c098 1.70 32.00,c097 15.80 32.00,30.88,,,,,,,,,,,,,,,,,,
AZC1I,YA10,Laundry room,5,7,Yes,"A person is seen fixing a chair in the laundry room. They smile and sit in the chair, pulling out their laptop.",chair,laptop,"Person flips chair and tightens screws, sits on chair, and opens computer",c048 19.00 30.60,c059 20.30 32.00,c151 19.50 27.00,c154 13.80 23.80,c052 24.90 31.80,30.71,,,,,,,,,,,,,,,,,,,
Q24KP,9Y7F,Bedroom,6,5,Yes,One person puts a blanket on a table while a other person is laughing next to a cabinet.,bed,blanket,clothes,table,towel,Person A walks into the room and puts a towel away while person B watches person A.,A person is standing in the bedroom. A second person picks up a towel off the bed then sits down.,c009 10.50 18.10,c035 2.90 15.50,c037 2.90 14.90,c033 3.10 16.90,c135 17.10 32.00,c001 10.00 17.10,c034 9.80 17.10,c151 15.80 21.70,30.71,,,,,,,,,,,,
OOWJ9,P3TI,Dining room,6,7,Yes,A person is eating some food while they read a book. The pour a glass of water and start taking a drink.,book,bowl,cup,dish,food,glass,jug,table,water,A person sits at a table and eats from a bowl while reading a book. They pour a glass of water and drink.,c108 15.20 25.90,c106 21.70 33.10,c032 0.00 14.50,c011 0.00 35.00,c107 14.70 35.00,c061 0.00 19.90,c156 0.00 18.20,c109 22.10 34.80,c110 19.20 28.10,c118 0.00 6.10,c109 28.00 34.30,34,,,,,,
5Z1CO,R1OT,Bedroom,5,4,Yes,"A person is playing by trying to juggle the medicine, book, and food they just picked up while tidying.",bed,book,"Person tidies bed, sits on it, juggles objects,",c031 12.60 26.00,c151 4.10 10.50,c135 3.90 10.90,c026 8.40 13.90,24.96,,,,,,,,,,,,,,,,,,,,
DB4WX,L4ZP,Living room,5,7,Yes,"A person is playing with a pillow. A person is smiling as the person watches her, leaning on a table.",pillow,person is playing with a pet,c076 0.00 30.30,c154 23.00 28.30,c078 0.00 29.70,29.71,,,,,,,,,,,,,,,,,,,,,,
UBVV7,KFGP,Hallway,6,7,Yes,Person puts blanket in box. Person smiles. Person eats small food item. Person closes box and puts box in closet.,blanket,box,food,something,A person folds a sheet and puts it into a box. The person then takes some food out of a bag and eats it. The person then takes the box and stores it away in a closet.,c075 0.00 8.50,c063 9.90 18.40,c039 19.20 27.10,c156 12.50 25.60,c151 6.70 20.10,c154 25.70 35.10,c042 4.00 38.00,c040 4.90 37.70,c044 4.90 37.70,c041 4.90 37.70,c043 23.90 35.70,c061 11.60 27.90,c062 16.20 28.20,37.17,,,,,,,,,
AGWQA,2Q9D,Laundry room,6,7,Yes,A person walks into a laundry room and throws a towel in the dryer closing the door. The person then fixes the placement of detergents on the shelf.,clothes,door,shelf,towel,A person is throwing laundry in the laundry machine then tidying up a shelf.,c082 5.90 30.50,c034 1.00 7.80,c001 1.00 7.80,c081 30.00 33.00,c005 30.00 33.00,c033 30.00 33.00,c081 10.20 16.40,c005 2.00 8.90,c033 0.00 7.10,32,,,,,,,,,,,,,
